ball_id,match_id,inning,over,ball,batsman,non_striker,bowler,noball_runs,batsman_runs,extra_runs,total_runs,extras_type,player_dismissed,dismissal_kind,fielder
179086,829,1,1,1,RG Sharma,Q de Kock,DL Chahar,0,4,0,4,,,,
179087,829,1,1,2,RG Sharma,Q de Kock,DL Chahar,0,1,0,1,,,,
179088,829,1,1,3,Q de Kock,RG Sharma,DL Chahar,0,2,0,2,,,,
179089,829,1,1,4,Q de Kock,RG Sharma,DL Chahar,0,4,0,4,,,,
179090,829,1,1,5,Q de Kock,RG Sharma,DL Chahar,0,0,0,0,,,,
179091,829,1,1,6,Q de Kock,RG Sharma,DL Chahar,0,1,0,1,,,,
179092,829,1,2,1,Q de Kock,RG Sharma,SM Curran,0,0,0,0,,,,
179093,829,1,2,2,Q de Kock,RG Sharma,SM Curran,0,0,0,0,,,,
179094,829,1,2,3,Q de Kock,RG Sharma,SM Curran,0,1,0,1,,,,
179095,829,1,2,4,RG Sharma,Q de Kock,SM Curran,0,4,0,4,,,,
179096,829,1,2,5,RG Sharma,Q de Kock,SM Curran,0,1,0,1,,,,
179097,829,1,2,6,Q de Kock,RG Sharma,SM Curran,0,1,0,1,,,,
179098,829,1,3,1,Q de Kock,RG Sharma,DL Chahar,0,1,0,1,,,,
179099,829,1,3,2,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,,,,
179100,829,1,3,3,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,,,,
179101,829,1,3,4,RG Sharma,Q de Kock,DL Chahar,0,1,0,1,,,,
179102,829,1,3,5,Q de Kock,RG Sharma,DL Chahar,0,4,0,4,,,,
179103,829,1,3,6,Q de Kock,RG Sharma,DL Chahar,0,2,0,2,,,,
179104,829,1,4,1,RG Sharma,Q de Kock,L Ngidi,0,1,0,1,,,,
179105,829,1,4,2,Q de Kock,RG Sharma,L Ngidi,0,4,0,4,,,,
179106,829,1,4,3,Q de Kock,RG Sharma,L Ngidi,0,2,0,2,,,,
179107,829,1,4,4,Q de Kock,RG Sharma,L Ngidi,0,0,1,1,wides,,,
179108,829,1,4,5,Q de Kock,RG Sharma,L Ngidi,0,4,0,4,,,,
179109,829,1,4,6,Q de Kock,RG Sharma,L Ngidi,0,0,1,1,wides,,,
179110,829,1,4,7,Q de Kock,RG Sharma,L Ngidi,0,4,0,4,,,,
179111,829,1,4,8,Q de Kock,RG Sharma,L Ngidi,0,1,0,1,,,,
179112,829,1,5,1,Q de Kock,RG Sharma,PP Chawla,0,0,0,0,,,,
179113,829,1,5,2,Q de Kock,RG Sharma,PP Chawla,0,1,0,1,,,,
179114,829,1,5,3,RG Sharma,Q de Kock,PP Chawla,0,0,0,0,,,,
179115,829,1,5,4,RG Sharma,Q de Kock,PP Chawla,0,0,0,0,,RG Sharma,caught,SM Curran
179116,829,1,5,5,SA Yadav,Q de Kock,PP Chawla,0,1,0,1,,,,
179117,829,1,5,6,Q de Kock,SA Yadav,PP Chawla,0,1,0,1,,,,
179118,829,1,6,1,Q de Kock,SA Yadav,SM Curran,0,0,0,0,,Q de Kock,caught,SR Watson
179119,829,1,6,2,SS Tiwary,SA Yadav,SM Curran,0,0,0,0,,,,
179120,829,1,6,3,SS Tiwary,SA Yadav,SM Curran,0,2,0,2,,,,
179121,829,1,6,4,SS Tiwary,SA Yadav,SM Curran,0,0,0,0,,,,
179122,829,1,6,5,SS Tiwary,SA Yadav,SM Curran,0,1,0,1,,,,
179123,829,1,6,6,SA Yadav,SS Tiwary,SM Curran,0,0,0,0,,,,
179124,829,1,7,1,SS Tiwary,SA Yadav,RA Jadeja,0,1,0,1,,,,
179125,829,1,7,2,SA Yadav,SS Tiwary,RA Jadeja,0,4,0,4,,,,
179126,829,1,7,3,SA Yadav,SS Tiwary,RA Jadeja,0,1,0,1,,,,
179127,829,1,7,4,SS Tiwary,SA Yadav,RA Jadeja,0,1,0,1,,,,
179128,829,1,7,5,SA Yadav,SS Tiwary,RA Jadeja,0,1,0,1,,,,
179129,829,1,7,6,SS Tiwary,SA Yadav,RA Jadeja,0,1,0,1,,,,
179130,829,1,8,1,SS Tiwary,SA Yadav,SM Curran,0,1,0,1,,,,
179131,829,1,8,2,SA Yadav,SS Tiwary,SM Curran,0,1,0,1,,,,
179132,829,1,8,3,SS Tiwary,SA Yadav,SM Curran,0,0,0,0,,,,
179133,829,1,8,4,SS Tiwary,SA Yadav,SM Curran,0,1,0,1,,,,
179134,829,1,8,5,SA Yadav,SS Tiwary,SM Curran,0,4,0,4,,,,
