id,city,date,team1,team2,toss_winner,toss_decision,result_type,dl_applied,winner,win_type,result_margin,player_of_match,venue
829,Abu Dhabi,2020-09-19,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,wickets,5,AT Rayudu,Sheikh Zayed Stadium
830,Dubai,2020-09-20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,tie,0,Delhi Capitals,tie,0,MP Stoinis,Dubai International Cricket Stadium
831,Dubai,2020-09-21,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,runs,10,YS Chahal,Dubai International Cricket Stadium
832,Sharjah,2020-09-22,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Rajasthan Royals,runs,16,SV Samson,Sharjah Cricket Stadium
833,Abu Dhabi,2020-09-23,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,runs,49,RG Sharma,Sheikh Zayed Stadium
834,Dubai,2020-09-24,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,runs,97,KL Rahul,Dubai International Cricket Stadium
835,Dubai,2020-09-25,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Delhi Capitals,runs,44,PP Shaw,Dubai International Cricket Stadium
836,Abu Dhabi,2020-09-26,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,wickets,7,Shubman Gill,Sheikh Zayed Stadium
837,Sharjah,2020-09-27,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,wickets,4,SV Samson,Sharjah Cricket Stadium
838,Dubai,2020-09-28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,tie,0,Royal Challengers Bangalore,tie,0,AB de Villiers,Dubai International Cricket Stadium
839,Abu Dhabi,2020-09-29,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Sunrisers Hyderabad,runs,15,Rashid Khan,Sheikh Zayed Stadium
840,Dubai,2020-09-30,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,runs,37,Shivam Mavi,Dubai International Cricket Stadium
