id,name,nation,role,salary_rank,comma_less_salary,team,season,salary
1,Abhinav Mukund,India,Batsman,399,800000,CSK,2008,"8,00,000"
2,Albie Morkel,South Africa,All-Rounder,95,27108000,CSK,2008,"2,71,08,000"
3,Arun Karthik,India,Wicketkeeper Batsman,402,800000,CSK,2008,"8,00,000"
4,Chamara Kapugedera,Sri Lanka,Batsman,502,4016000,CSK,2008,"40,16,000"
5,Jacob Oram,New Zealand,All-Rounder,159,27108000,CSK,2008,"2,71,08,000"
6,Joginder Sharma,India,Bowler,257,9000000,CSK,2008,"90,00,000"
7,Lakshmipathy Balaji,India,Bowler,169,1200000,CSK,2008,"12,00,000"
8,Makhaya Ntini,South Africa,Bowler,274,8032000,CSK,2008,"80,32,000"
9,Manpreet Gony,India,Bowler,236,1200000,CSK,2008,"12,00,000"
10,Matthew Hayden,Australia,Batsman,209,15060000,CSK,2008,"1,50,60,000"
11,Michael Hussey,Australia,Batsman,121,10040000,CSK,2008,"1,00,40,000"
12,MS Dhoni,India,Wicketkeeper Batsman,1,60000000,CSK,2008,"6,00,00,000"
13,Muttiah Muralitharan,Sri Lanka,Bowler,119,24000000,CSK,2008,"2,40,00,000"
14,Napoleon Einstein,India,Batsman,779,400000,CSK,2008,"4,00,000"
15,Palani Amarnath,India,Bowler,739,400000,CSK,2008,"4,00,000"
16,Parthiv Patel,India,Wicketkeeper Batsman,88,13000000,CSK,2008,"1,30,00,000"
17,Ravichandran Ashwin,India,All-Rounder,15,1200000,CSK,2008,"12,00,000"
18,S Badrinath,India,Batsman,153,1200000,CSK,2008,"12,00,000"
19,Shadab Jakati,India,Bowler,251,400000,CSK,2008,"4,00,000"
20,Srikkanth Anirudha ,India,Batsman,356,1200000,CSK,2008,"12,00,000"
21,Stephen Fleming,New Zealand,Batsman,345,14056000,CSK,2008,"1,40,56,000"
22,Sudeep Tyagi,India,Bowler,273,400000,CSK,2008,"4,00,000"
23,Suresh Kumar,India,All-Rounder,780,400000,CSK,2008,"4,00,000"
24,Suresh Raina,India,Batsman,4,26000000,CSK,2008,"2,60,00,000"
25,Vidyut Sivaramakrishnan,India,All-Rounder,576,1200000,CSK,2008,"12,00,000"
26,Viraj Kadbe,India,Bowler,740,400000,CSK,2008,"4,00,000"
27,AB de Villiers,South Africa,Wicketkeeper Batsman,5,12048000,DC,2008,"1,20,48,000"
28,Amit Mishra,India,Bowler,46,1200000,DC,2008,"12,00,000"
29,Brett Geeves,Australia,Bowler,592,2008000,DC,2008,"20,08,000"
30,Daniel Vettori,New Zealand,All-Rounder,129,25100000,DC,2008,"2,51,00,000"
31,Dinesh Karthik,India,Wicketkeeper Batsman,12,21000000,DC,2008,"2,10,00,000"
32,Farveez Maharoof,Sri Lanka,All-Rounder,261,9036000,DC,2008,"90,36,000"
33,Gautam Gambhir,India,Batsman,7,29000000,DC,2008,"2,90,00,000"
34,Glenn McGrath,Australia,Bowler,258,14056000,DC,2008,"1,40,56,000"
35,Manoj Tiwary,India,Batsman,89,27000000,DC,2008,"2,70,00,000"
36,Mayank Tehlan,India,All-Rounder,743,800000,DC,2008,"8,00,000"
37,Mithun Manhas,India,All-Rounder,311,1200000,DC,2008,"12,00,000"
38,Mohammad Asif,Pakistan,Bowler,277,26104000,DC,2008,"2,61,04,000"
39,Pradeep Sangwan,India,Bowler,271,1200000,DC,2008,"12,00,000"
40,Rajat Bhatia,India,All-Rounder,200,1200000,DC,2008,"12,00,000"
41,Shikhar Dhawan,India,Batsman,13,1200000,DC,2008,"12,00,000"
42,Shoaib Malik,Pakistan,Batsman,300,20080000,DC,2008,"2,00,80,000"
43,Tejashwi Yadav,India,Batsman,530,800000,DC,2008,"8,00,000"
44,Tillakaratne Dilshan,Sri Lanka,All-Rounder,135,10040000,DC,2008,"1,00,40,000"
45,Virender Sehwag,India,Batsman,37,33350000,DC,2008,"3,33,50,000"
46,Yo Mahesh,India,All-Rounder,380,1200000,DC,2008,"12,00,000"
47,Yogesh Nagar,India,All-Rounder,419,800000,DC,2008,"8,00,000"
48,Aakash Chopra,India,Batsman,427,1200000,KKR,2008,"12,00,000"
49,Ajantha Mendis,Sri Lanka,Bowler,228,1204800,KKR,2008,"12,04,800"
50,Ajit Agarkar,India,Bowler,192,14000000,KKR,2008,"1,40,00,000"
51,Ashok Dinda,India,Bowler,167,1200000,KKR,2008,"12,00,000"
52,Brad Hodge,Australia,Batsman,166,1204800,KKR,2008,"12,04,800"
53,Brendon McCullum,New Zealand,Wicketkeeper Batsman,40,28112000,KKR,2008,"2,81,12,000"
54,Cheteshwar Pujara,India,Batsman,144,800000,KKR,2008,"8,00,000"
55,Chris Gayle,West Indies,All-Rounder,21,32128000,KKR,2008,"3,21,28,000"
56,David Hussey,Australia,All-Rounder,60,25100000,KKR,2008,"2,51,00,000"
57,Debabrata Das,India,Batsman,487,1200000,KKR,2008,"12,00,000"
58,Iqbal Abdulla,India,All-Rounder,291,1200000,KKR,2008,"12,00,000"
59,Ishant Sharma,India,Bowler,58,38000000,KKR,2008,"3,80,00,000"
60,Laxmi Shukla,India,All-Rounder,259,1200000,KKR,2008,"12,00,000"
61,Mohammad Hafeez,Pakistan,All-Rounder,504,4016000,KKR,2008,"40,16,000"
62,Murali Kartik,India,Bowler,162,17000000,KKR,2008,"1,70,00,000"
63,Ranadeb Bose,India,Bowler,679,1200000,KKR,2008,"12,00,000"
64,Ricky Ponting,Australia,Batsman,243,16064000,KKR,2008,"1,60,64,000"
65,Rohan Banerjee,India,Batsman,745,400000,KKR,2008,"4,00,000"
66,Salman Butt,Pakistan,Batsman,505,4016000,KKR,2008,"40,16,000"
67,Saurasish Lahiri,India,Bowler,680,1200000,KKR,2008,"12,00,000"
68,Shoaib Akhtar,Pakistan,Bowler,321,17068000,KKR,2008,"1,70,68,000"
69,Siddarth Kaul,India,Bowler,112,1200000,KKR,2008,"12,00,000"
70,Sourav Ganguly,India,Batsman,108,43700000,KKR,2008,"4,37,00,000"
71,Tatenda Taibu,Zimbabwe,Wicketkeeper Batsman,478,5020000,KKR,2008,"50,20,000"
72,Umar Gul,Pakistan,Bowler,453,6024000,KKR,2008,"60,24,000"
73,Wriddhiman Saha,India,Wicketkeeper Batsman,97,1200000,KKR,2008,"12,00,000"
74,Yashpal Singh,India,Batsman,494,800000,KKR,2008,"8,00,000"
75,Ajitesh Argal,India,Bowler,660,800000,KXIP,2008,"8,00,000"
76,Brett Lee,Australia,Bowler,100,36144000,KXIP,2008,"3,61,44,000"
77,Gagandeep Singh,India,Bowler,676,1200000,KXIP,2008,"12,00,000"
78,Irfan Pathan,India,All-Rounder,36,37000000,KXIP,2008,"3,70,00,000"
79,James Hopes,Australia,All-Rounder,202,12048000,KXIP,2008,"1,20,48,000"
80,Karan Goel,India,Batsman,529,1200000,KXIP,2008,"12,00,000"
81,Kumar Sangakkara,Sri Lanka,Wicketkeeper Batsman,93,28112000,KXIP,2008,"2,81,12,000"
82,Kyle Mills,New Zealand,Bowler,383,2008000,KXIP,2008,"20,08,000"
83,Luke Pomersbach,Australia,Batsman,282,2008000,KXIP,2008,"20,08,000"
84,Mahela Jayawardene,Sri Lanka,Batsman,70,19000000,KXIP,2008,"1,90,00,000"
85,Nitin Saini,India,Wicketkeeper Batsman,448,400000,KXIP,2008,"4,00,000"
86,Pankaj Dharmani,India,Wicketkeeper Batsman,675,1200000,KXIP,2008,"12,00,000"
87,Piyush Chawla,India,All-Rounder,24,16000000,KXIP,2008,"1,60,00,000"
88,Ramesh Powar,India,Bowler,245,6800000,KXIP,2008,"68,00,000"
