id,name,team,season,position,age,batting_hand,bowling_hand,status,_age,_batting_hand,_bowling_hand,_name
1,Abhinav Mukund,CSK,2008,Batsman,18y 123d,Left,Legbreak googly,1,Age: 18y 123d,Batting: Left hand bat,Bowling: Legbreak googly,Abhinav Mukund 
2,Albie Morkel,CSK,2008,All-Rounder,26y 333d,Left,Right arm medium fast,1,Age: 26y 333d,Batting: Left hand bat,Bowling: Right arm medium fast,Albie Morkel 
3,Arun Karthik,CSK,2008,Wicketkeeper Batsman,22y 83d,Right,Legbreak googly,1,Age: 22y 83d,Batting: Right hand bat,Bowling: Legbreak googly,Arun Karthik 
4,Chamara Kapugedera,CSK,2008,Batsman,21y 74d,Right,Right arm medium,1,Age: 21y 74d,Batting: Right hand bat,Bowling: Right arm medium,Chamara Kapugedera 
5,Jacob Oram,CSK,2008,All-Rounder,29y 285d,Left,Right arm medium fast,1,Age: 29y 285d,Batting: Left hand bat,Bowling: Right arm medium fast,Jacob Oram 
6,Joginder Sharma,CSK,2008,All-Rounder,24y 198d,Right,Right arm medium fast,1,Age: 24y 198d,Batting: Right hand bat,Bowling: Right arm medium fast,Joginder Sharma 
7,Lakshmipathy Balaji,CSK,2008,Bowler,26y 224d,Right,Right arm medium fast,1,Age: 26y 224d,Batting: Right hand bat,Bowling: Right arm medium fast,Lakshmipathy Balaji 
8,Makhaya Ntini,CSK,2008,Bowler,30y 307d,Right,Right arm fast,1,Age: 30y 307d,Batting: Right hand bat,Bowling: Right arm fast,Makhaya Ntini 
9,Manpreet Gony,CSK,2008,Bowler,24y 125d,Right,Right arm medium,1,Age: 24y 125d,Batting: Right hand bat,Bowling: Right arm medium,Manpreet Gony 
10,Matthew Hayden,CSK,2008,Batsman,36y 192d,Left,Right arm medium,1,Age: 36y 192d,Batting: Left hand bat,Bowling: Right arm medium,Matthew Hayden 
11,Michael Hussey,CSK,2008,Batsman,32y 347d,Left,Right arm medium,1,Age: 32y 347d,Batting: Left hand bat,Bowling: Right arm medium,Michael Hussey 
12,MS Dhoni (c),CSK,2008,Wicketkeeper Batsman,26y 306d,Right,Right arm medium,1,Age: 26y 306d,Batting: Right hand bat,Bowling: Right arm medium,MS Dhoni (c)
13,Muttiah Muralitharan,CSK,2008,Bowler,36y 21d,Right,Right arm offbreak,1,Age: 36y 21d,Batting: Right hand bat,Bowling: Right arm offbreak,Muttiah Muralitharan
14,Napoleon Einstein,CSK,2008,Batsman,18y 266d,Right,Right arm offbreak,1,Age: 18y 266d,Batting: Right hand bat,Bowling: Right arm offbreak,Napoleon Einstein 
15,Palani Amarnath,CSK,2008,Bowler,25y 342d,Right,Right arm medium,1,Age: 25y 342d,Batting: Right hand bat,Bowling: Right arm medium,Palani Amarnath 
16,Parthiv Patel,CSK,2008,Wicketkeeper Batsman,23y 60d,Left,Right arm offbreak,1,Age: 23y 60d,Batting: Left hand bat,Bowling: Right arm offbreak,Parthiv Patel 
17,Ravichandran Ashwin,CSK,2008,All-Rounder,21y 234d,Right,Right arm offbreak,1,Age: 21y 234d,Batting: Right hand bat,Bowling: Right arm offbreak,Ravichandran Ashwin 
18,S Badrinath,CSK,2008,Batsman,27y 252d,Right,Right arm offbreak,1,Age: 27y 252d,Batting: Right hand bat,Bowling: Right arm offbreak,S Badrinath 
19,Shadab Jakati,CSK,2008,Bowler,27y 163d,Left,Slow left arm orthodox,1,Age: 27y 163d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Shadab Jakati 
20,Srikkanth Anirudha,CSK,2008,Batsman,21y 24d,Right,,1,Age: 21y 24d,Batting: Right hand bat,,Srikkanth Anirudha 
21,Stephen Fleming,CSK,2008,Batsman,35y 37d,Left,,1,Age: 35y 37d,Batting: Left hand bat,,Stephen Fleming 
22,Sudeep Tyagi,CSK,2008,Bowler,20y 234d,Right,Right arm medium,1,Age: 20y 234d,Batting: Right hand bat,Bowling: Right arm medium,Sudeep Tyagi 
23,Suresh Kumar,CSK,2008,All-Rounder,23y 49d,Right,Right arm offbreak,1,Age: 23y 49d,Batting: Right hand bat,Bowling: Right arm offbreak,Suresh Kumar 
